refuge,predator,prey density,alive,eaten,R
hi,Gp,3,3,0,0
hi,Gp,3,3,0,0
hi,Gp,3,2,1,1.15740740740741E-05
hi,Gp,3,3,0,0
hi,Gp,4,2,2,2.31481481481481E-05
hi,Gp,4,3,1,1.15740740740741E-05
hi,Gp,4,0,4,4.62962962962963E-05
hi,Gp,4,4,0,0
hi,Gp,5,3,2,2.31481481481481E-05
hi,Gp,5,3,2,2.31481481481481E-05
hi,Gp,5,3,2,2.31481481481481E-05
hi,Gp,5,4,1,1.15740740740741E-05
hi,Gp,6,2,4,4.62962962962963E-05
hi,Gp,6,2,4,4.62962962962963E-05
hi,Gp,6,3,3,3.47222222222222E-05
hi,Gp,6,6,0,0
hi,Gp,7,2,5,5.78703703703704E-05
hi,Gp,7,3,4,4.62962962962963E-05
hi,Gp,7,4,3,3.47222222222222E-05
hi,Gp,7,1,6,6.94444444444444E-05
hi,Gp,8,3,5,5.78703703703704E-05
hi,Gp,8,3,5,5.78703703703704E-05
hi,Gp,8,2,6,6.94444444444444E-05
hi,Gp,8,6,2,2.31481481481481E-05
hi,Gp,15,8,7,8.10185185185185E-05
hi,Gp,15,12,3,3.47222222222222E-05
hi,Gp,15,11,4,4.62962962962963E-05
hi,Gp,15,8,7,8.10185185185185E-05
hi,Gp,25,18,7,8.10185185185185E-05
hi,Gp,25,16,9,0.000104166666667
hi,Gp,25,22,3,3.47222222222222E-05
hi,Gp,25,18,7,8.10185185185185E-05
hi,Gp,40,30,10,0.000115740740741
hi,Gp,40,35,5,5.78703703703704E-05
hi,Gp,40,34,6,6.94444444444444E-05
hi,Gp,40,31,9,0.000104166666667
mid ,Gp,1,0,1,1.15740740740741E-05
mid ,Gp,1,0,1,1.15740740740741E-05
mid ,Gp,1,0,1,1.15740740740741E-05
mid ,Gp,1,1,0,0
mid,Gp,2,0,2,2.31481481481481E-05
mid,Gp,2,1,1,1.15740740740741E-05
mid,Gp,2,2,0,0
mid ,Gp,2,2,0,0
mid ,Gp,3,3,0,0
mid ,Gp,3,2,1,1.15740740740741E-05
mid ,Gp,3,2,1,1.15740740740741E-05
