Pen	BirdID	SeedDen	Habitat	FeedRate	Hx	Hc	Ht	ProVig	DurVig	SearchTime	FreqVig	Date	Time	Sex
2	RRBL	15	BareSoil	0.449	0.378	0.842	1.22	0.248	0.552	0.365	0.449	16/11/2008	11	M
3	BL	15	BareSoil	0.694	0.368	0.532	0.9	0.135	0.26	0.236	0.521	12/11/2008	10	F
3	BR	15	BareSoil	0.363	0.406	0.754	1.16	0.341	0.47	0.162	0.725	16/11/2008	11	M
3	RL	15	BareSoil	0.806	0.265	0.542	0.807	0.052	0.107	0.666	0.484	12/11/2008	10	M
3	RR	15	BareSoil	0.845	0.277	0.354	0.631	0.188	0.39	0.41	0.483	12/11/2008	10	M
3	RRBL	15	BareSoil	0.623	0.574	0.24	0.814	0.193	0.413	0.353	0.467	12/11/2008	10	M
4	BL	15	BareSoil	0.5	0.303	0.8	1.103	0.131	0.288	0.856	0.045	18/11/2008	11	F
4	BR	15	BareSoil	0.672	0.483	0.33	0.813	0.084	0.2	0.198	0.42	18/11/2008	11	M
4	RL	15	BareSoil	1.255	0.281	0.169	0.45	0	0	0	0	18/11/2008	11	F
4	RR	15	BareSoil	0.545	0.45	0.65	1.1	0	0	0.795	0	18/11/2008	11	F
4	RRBL	15	BareSoil	0.551	0.437	0.616	1.053	0.039	0.28	0.792	0.138	18/11/2008	11	F
1	BL	25	BareSoil	0.629	0.377	0.497	0.874	0.126	0.2	0.184	0.629	29/10/2008	13	M
1	BR	25	BareSoil	0.702	0.28	0.4	0.68	0.218	0.62	0.375	0.351	24/11/2008	11	F
1	RL	25	BareSoil	0.53	0.345	0.462	0.807	0.136	0.29	0.754	0.424	24/11/2008	11	F
1	RR	25	BareSoil	0.52	0.436	0.584	1.02	0.14	0.443	0.105	0.26	24/11/2008	11	F
1	RRBL	25	BareSoil	1.114	0.296	0.215	0.511	0.281	0.36	0.103	0.78	29/10/2008	13	M
2	BL	25	BareSoil	1.318	0.261	0.224	0.485	0.026	0.2	0.218	0.132	28/10/2008	10	F
2	BR	25	BareSoil	1.266	0.246	0.199	0.445	0	0	0.088	0	28/10/2008	10	F
2	RL	25	BareSoil	0.927	0.308	0.218	0.526	0.135	0.267	0.33	0.506	28/10/2008	10	M
2	RR	25	BareSoil	0.532	0.317	0.28	0.597	0.394	1.11	0.18	0.355	28/10/2008	10	M
2	RRBL	25	BareSoil	0.606	0.457	0.35	0.807	0.264	0.305	0.302	0.865	28/10/2008	10	M
3	BL	25	BareSoil	0.227	0.464	1.062	1.526	0.07	0.62	0.683	0.113	27/10/2008	11	F
3	BR	25	BareSoil	0.436	0.363	0.491	0.854	0.441	1.683	0.395	0.262	27/10/2008	11	M
3	RL	25	BareSoil	0.705	0.285	0.489	0.774	0.045	0.233	0.225	0.192	27/10/2008	11	M
3	RR	25	BareSoil	0.53	0.491	0.434	0.925	0.189	0.407	0.443	0.464	27/10/2008	11	M
3	RRBL	25	BareSoil	0.407	0.462	0.328	0.79	0.31	0.507	0.51	0.611	27/10/2008	11	M
4	BL	25	BareSoil	0.462	0.487	0.543	1.03	0.185	0.394	0.484	0.462	27/10/2008	12	F
4	BR	25	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
4	RL	25	BareSoil	0.725	0.35	0.22	0.57	0.025	0.24	0.957	0.104	27/10/2008	12	F
4	RR	25	BareSoil	1.345	0.372	0.208	0.58	0.078	0.51	0.132	0.149	27/10/2008	12	F
4	RRBL	25	BareSoil	1.351	0.403	0.173	0.576	0.074	0.22	0.105	0.338	27/10/2008	12	F
1	BL	50	BareSoil	1.092	0.315	0.529	0.844	0.166	0.448	0.148	0.371	27/10/2008	10	M
1	BR	50	BareSoil	0.555	0.362	0.557	0.919	0.331	1.634	0.394	0.203	27/10/2008	10	F
