Pen	BirdID	SeedDen	Habitat	FeedRate	Hx	Hc	Ht	ProVig	DurVig	SearchTime	FreqVig	Date	Time	Sex
1	BR	50	Stubble	1.049	0.289	0.48	0.769	0.013	0.12	0.374	0.105	19/11/2008	13	F
1	RL	50	Stubble	1.495	0.259	0.2	0.459	0.027	0.2	0.228	0.136	14/11/2008	12	F
1	RR	50	Stubble	0.405	0.379	0.42	0.799	0.337	1.328	0.324	0.253	14/11/2008	12	F
1	RRBL	50	Stubble	0.651	0.286	0.488	0.774	0.046	0.23	0.198	0.2	14/11/2008	12	M
2	BL	50	Stubble	0.526	0.376	0.326	0.702	0.239	0.453	0.12	0.526	19/11/2008	11	F
2	BR	50	Stubble	0.857	0.322	0.256	0.578	0.126	0.66	0.482	0.176	19/11/2008	11	F
2	RL	50	Stubble	0.968	0.3	0.335	0.635	0	0	0.702	0	19/11/2008	11	M
2	RR	50	Stubble	0.877	0.28	0.261	0.541	0.094	0.64	0.326	0.146	19/11/2008	11	M
2	RRBL	50	Stubble	1.237	0.275	0.292	0.567	0.076	0.16	0.306	0.381	19/11/2008	11	M
3	BL	50	Stubble	0.497	0.385	0.895	1.28	0.159	0.747	0.16	0.213	19/11/2008	9	F
3	BR	50	Stubble	0.942	0.357	0.307	0.664	0.096	0.28	0.216	0.342	19/11/2008	9	M
3	RL	50	Stubble	0.601	0.585	0.46	1.045	0.053	0.44	0.314	0.12	19/11/2008	9	M
3	RR	50	Stubble	0.684	0.235	0.515	0.75	0.141	0.288	0.192	0.488	19/11/2008	9	M
3	RRBL	50	Stubble	0.287	0.528	0.552	1.08	0.249	1.16	0.467	0.215	19/11/2008	9	M
4	BL	50	Stubble	0.312	0.387	0.705	1.092	0.267	1.43	0.784	0.187	12/11/2008	11	F
4	BR	50	Stubble	0.889	0.471	0.264	0.735	0.041	0.28	0.43	0.148	12/11/2008	11	M
4	RL	50	Stubble	0.481	0.336	0.668	1.004	0.25	1.04	0.233	0.24	12/11/2008	11	F
4	RR	50	Stubble	1.107	0.311	0.234	0.545	0	0	0.162	0	12/11/2008	11	F
4	RRBL	50	Stubble	1.275	0.263	0.201	0.464	0	0	0.54	0	12/11/2008	11	F
1	BL	100	Stubble	0.435	0.341	0.5	0.841	0.47	0.356	0.488	0.145	18/11/2008	12	M
1	BR	100	Stubble	0.33	0.784	0.418	1.202	0.496	1.503	0.272	0.33	18/11/2008	12	F
1	RL	100	Stubble	1.01	0.26	0.497	0.757	0.018	0.16	0.283	0.112	18/11/2008	12	F
1	RR	100	Stubble	0.982	0.322	0.302	0.624	0.16	0.227	0.097	0.368	19/11/2008	11	F
1	RRBL	100	Stubble	0.521	0.375	0.455	0.83	0.327	0.878	0.23	0.372	19/11/2008	11	M
2	BL	100	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
2	BR	100	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
2	RL	100	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
2	RR	100	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
2	RRBL	100	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
3	BL	100	Stubble	0.41	0.501	0.491	0.992	0.031	0.84	0.91	0.037	14/11/2008	10	F
3	BR	100	Stubble	1.28	0.337	0.295	0.632	0	0	0.304	0	14/11/2008	10	M
3	RL	100	Stubble	1.129	0.319	0.339	0.658	0.017	0.1	0.25	0.174	14/11/2008	10	M
3	RR	100	Stubble	1.326	0.254	0.291	0.545	0.095	0.27	0.152	0.354	14/11/2008	10	M
3	RRBL	100	Stubble	1.275	0.287	0.258	0.545	0	0	0.056	0	14/11/2008	10	M
4	BL	100	Stubble	0.827	0.276	0.327	0.603	0.233	0.985	0.36	0.236	12/11/2008	10	F
4	BR	100	Stubble	0.489	0.29	0.178	0.468	0	0	1.36	0.081	12/11/2008	10	M
4	RL	100	Stubble	1.021	0.261	0.312	0.573	0.019	0.2	0.42	0.093	12/11/2008	10	F
4	RR	100	Stubble	1.55	0.253	0.275	0.528	0.021	0.2	0.13	0.103	12/11/2008	10	F
4	RRBL	100	Stubble	0.521	0.35	0.36	0.71	0.176	1.18	0.538	0.149	12/11/2008	10	F
1	BL	200	Stubble	1.678	0.276	0.244	0.52	0	0	0.112	0	12/11/2008	12	M
1	BR	200	Stubble	1.19	0.276	0.253	0.529	0.101	0.507	0.224	0.198	12/11/2008	12	F
1	RL	200	Stubble	1.734	0.192	0.283	0.475	0	0	0.12	0	12/11/2008	12	F
1	RR	200	Stubble	1.181	0.26	0.457	0.717	0.011	0	0.096	0	12/11/2008	12	F
1	RRBL	200	Stubble	1.335	0.25	0.337	0.587	0	0	0.2	0	12/11/2008	12	M
2	BL	200	Stubble	0.596	0.356	0.59	0.946	0.155	0.26	0.41	0.547	18/11/2008	10	F
2	BR	200	Stubble	0.905	0.368	0.528	0.896	0	0	0.136	0	18/11/2008	10	F
2	RL	200	Stubble	0.638	0.444	0.593	1.037	0.168	0.66	0.168	0.266	18/11/2008	10	M
2	RR	200	Stubble	0.531	0.557	0.45	1.007	0.036	0.48	0.97	0.076	18/11/2008	10	M
2	RRBL	200	Stubble	0.695	0.458	0.485	0.943	0.048	0.26	0.304	0.126	18/11/2008	10	M
3	BL	200	Stubble	0.733	0.331	0.501	0.832	0.068	0.28	0.31	0.244	18/11/2008	10	F
3	BR	200	Stubble	0.55	0.491	0.641	1.132	0.198	0.537	0.276	0.345	18/11/2008	10	M
3	RL	200	Stubble	0.726	0.605	0.261	0.866	0.176	0.67	0.132	0.207	18/11/2008	10	M
3	RR	200	Stubble	0.844	0.322	0.746	1.068	0.135	0.122	0.092	0.483	18/11/2008	10	M
3	RRBL	200	Stubble	0.317	0.322	0.261	0.583	0.624	0.44	0.628	0.181	18/11/2008	10	M
4	BL	200	Stubble	0.806	0.345	0.29	0.635	0.253	0.55	0.21	0.461	14/11/2008	12	F
4	BR	200	Stubble	0.931	0.386	0.287	0.673	0	0	0.312	0	14/11/2008	12	M
4	RL	200	Stubble	1.695	0.182	0.302	0.484	0	0	0.096	0	14/11/2008	12	F
4	RR	200	Stubble	2.365	0.16	0.168	0.328	0	0	0.112	0	14/11/2008	12	F
4	RRBL	200	Stubble	1.066	0.331	0.274	0.605	0.082	0.307	0.328	0.246	14/11/2008	12	F
1	BL	400	Stubble	0.604	0.235	0.299	0.534	0.064	0.28	0.088	0.186	14/11/2008	10	M
1	BR	400	Stubble	0.899	0.265	0.356	0.621	0.101	0.373	0.228	0.27	14/11/2008	10	F
1	RL	400	Stubble	1.19	0.29	0.263	0.553	0.058	0.68	0.11	0.085	14/11/2008	10	F
1	RR	400	Stubble	1.075	0.32	0.425	0.745	0.111	0.23	0.04	0.358	14/11/2008	10	F
1	RRBL	400	Stubble	1.217	0.346	0.309	0.655	0.019	0.2	0.072	0.094	14/11/2008	10	M
2	BL	400	Stubble	1.083	0.24	0.324	0.564	0.19	0.404	0.056	0.417	20/11/2008	10	F
2	BR	400	Stubble	1.049	0.237	0.52	0.757	0.014	0.26	0.12	0.087	20/11/2008	10	F
2	RL	400	Stubble	1	0.212	0.504	0.716	0.08	0.147	0.475	0.333	20/11/2008	10	M
2	RR	400	Stubble	0.511	0.37	0.413	0.783	0.288	0.62	0.33	0.465	20/11/2008	10	M
2	RRBL	400	Stubble	0.888	0.349	0.397	0.746	0.083	0.56	0.184	0.148	20/11/2008	10	M
3	BL	400	Stubble	0.961	0.239	0.346	0.585	0.207	0.54	0.072	0.384	20/11/2008	10	F
3	BR	400	Stubble	1.19	0.236	0.468	0.704	0.021	0.16	0.16	0.132	20/11/2008	10	M
3	RL	400	Stubble	1.285	0.217	0.274	0.491	0.067	0.227	0.498	0.296	20/11/2008	10	M
3	RR	400	Stubble	0.935	0.307	0.502	0.809	0.07	0.2	0.112	0.35	20/11/2008	10	M
3	RRBL	400	Stubble	1.144	0.275	0.423	0.698	0.131	0.8	0.01	0.163	20/11/2008	10	M
4	BL	400	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
4	BR	400	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
4	RL	400	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
4	RR	400	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
4	RRBL	400	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
