Season,PenguinID,Diveduration(s),Divedepth(m),Nokrillcaptured,R
2016/17,58_25,122,68.3,9,7.377
2016/17,58_25,118,69.4,6,5.085
2016/17,58_25,120,69.2,4,3.333
2016/17,58_25,128,67.9,11,8.594
2016/17,58_25,121,61.7,1,0.826
2016/17,58_25,130,64.4,10,7.692
2016/17,58_25,137,75.4,23,16.788
2016/17,58_25,139,73.5,23,16.547
2016/17,58_25,144,75.1,15,10.417
2016/17,58_25,138,73.1,20,14.493
2016/17,58_25,122,71.3,23,18.852
2016/17,58_25,142,72.2,15,10.563
2016/17,58_25,109,68.7,10,9.174
2016/17,58_25,138,71.2,17,12.319
2016/17,58_28,65,7.1,2,3.077
2016/17,58_28,68,15.1,11,16.176
2016/17,58_28,71,17.1,5,7.042
2016/17,58_28,85,18,10,11.765
2016/17,58_28,89,17.4,17,19.101
2016/17,58_28,72,16.3,6,8.333
2016/17,58_28,101,19.3,10,9.901
2016/17,58_28,93,17.5,19,20.43
2016/17,58_28,94,18.3,5,5.319
2016/17,58_28,94,21.1,4,4.255
2016/17,58_28,102,18.4,5,4.902
2016/17,58_28,106,20.3,3,2.83
2016/17,58_28,107,19.9,3,2.804
2016/17,58_28,98,18.1,12,12.245
2016/17,58_28,93,17.7,16,17.204
2016/17,58_28,95,19.4,13,13.684
2016/17,58_28,93,18.4,12,12.903
2016/17,58_28,92,18.7,13,14.13
2016/17,58_28,94,20.9,10,10.638
2016/17,58_28,90,19.1,17,18.889
2016/17,58_28,83,17.6,16,19.277
2016/17,58_28,90,19,12,13.333
2016/17,58_28,78,16.2,18,23.077
2016/17,58_28,77,18.9,10,12.987
2016/17,58_28,98,24.8,5,5.102
2016/17,58_28,99,26.8,5,5.051
2016/17,58_28,107,24.6,5,4.673
2016/17,58_28,101,20.7,2,1.98
2016/17,58_29,91,16.6,1,1.099
2016/17,58_29,85,18.9,2,2.353
2016/17,58_29,109,21.8,1,0.917
2016/17,58_29,103,22.4,2,1.942
2016/17,58_29,99,29.2,1,1.01
2016/17,58_29,80,32.3,1,1.25
2016/17,58_29,89,29.8,1,1.124
2016/17,58_29,76,25.9,1,1.316
2016/17,58_29,76,36.7,1,1.316
2016/17,58_29,84,31.3,2,2.381
2016/17,58_29,90,36.6,3,3.333
2016/17,58_29,92,35.4,10,10.87
2016/17,58_29,87,38.8,4,4.598
2016/17,58_29,77,29.4,7,9.091
2016/17,58_29,97,32.7,10,10.309
2016/17,58_29,89,33.4,12,13.483
2016/17,58_29,80,35,4,5
2016/17,58_29,87,35,18,20.69
2016/17,58_29,82,38,14,17.073
2016/17,58_29,77,29.8,1,1.299
2016/17,58_29,81,31.1,7,8.642
2016/17,58_29,78,31.7,7,8.974
2016/17,58_29,69,27.1,3,4.348
2016/17,58_29,31,13.8,1,3.226
2016/17,58_29,69,25.5,1,1.449
2016/17,58_29,73,26,1,1.37
2016/17,58_29,73,27,1,1.37
2016/17,58_29,51,15.6,1,1.961
2016/17,58_29,67,17.2,1,1.493
2016/17,58_29,69,19.1,1,1.449
2016/17,58_29,103,36.4,4,3.883
2016/17,58_29,98,36.6,2,2.041
2016/17,58_29,111,37.1,10,9.009
2016/17,58_29,127,39.9,3,2.362
2016/17,58_29,90,25.5,11,12.222
2016/17,58_29,101,28.6,9,8.911
2016/17,58_29,97,29,8,8.247
2016/17,58_29,95,30.7,5,5.263
2016/17,58_29,92,30.3,4,4.348
2016/17,58_29,71,25.7,6,8.451
2016/17,58_29,78,30.8,1,1.282
2016/17,58_29,97,36.2,2,2.062
2016/17,58_29,85,37.3,3,3.529
2016/17,58_29,101,39.6,1,0.99
2016/17,58_29,99,40.6,4,4.04
2016/17,58_29,96,40.5,9,9.375
2016/17,58_29,92,41.3,11,11.957
2016/17,58_29,96,40.5,5,5.208
2016/17,58_29,101,41.8,5,4.95
2016/17,58_29,101,39.7,1,0.99
2016/17,58_29,56,8.7,1,1.786
2016/17,58_29,88,35.4,3,3.409
2016/17,58_29,98,39.6,5,5.102
2016/17,58_29,109,39.7,6,5.505
2016/17,58_29,91,42.7,2,2.198
2016/17,58_29,88,27,1,1.136
2016/17,58_29,93,28.6,1,1.075
2016/17,58_29,98,34.6,7,7.143
2016/17,58_29,111,41,3,2.703
2016/17,58_29,109,35.5,4,3.67
2016/17,58_29,109,41.1,3,2.752
2016/17,58_29,96,33.2,1,1.042
2016/17,58_29,114,45.1,8,7.018
2016/17,58_29,95,40,5,5.263
2016/17,58_29,108,47.6,5,4.63
2016/17,58_29,97,32.4,3,3.093
2016/17,58_29,101,35,4,3.96
2016/17,58_29,98,37.7,10,10.204
2016/17,58_29,110,41.2,11,10
2016/17,58_29,100,43.3,5,5
2016/17,58_29,107,40.1,9,8.411
2016/17,58_29,103,36.5,3,2.913
2016/17,58_29,98,39.3,1,1.02
2016/17,58_29,61,21.9,1,1.639
2016/17,58_29,73,35.8,3,4.11
2016/17,58_29,71,31.9,4,5.634
2016/17,58_29,74,32.6,9,12.162
2016/17,58_29,71,39.9,6,8.451
2016/17,58_29,80,38.2,6,7.5
2016/17,58_29,77,37.4,15,19.481
2016/17,58_29,93,38,9,9.677
2016/17,58_29,89,46.6,8,8.989
2016/17,58_29,91,42,15,16.484
2016/17,58_29,77,28.6,13,16.883
2016/17,58_29,73,26.6,18,24.658
2016/17,58_29,83,34,12,14.458
2016/17,58_29,77,33.1,8,10.39
2016/17,58_29,67,27.8,9,13.433
2016/17,58_29,73,30.5,15,20.548
2016/17,58_29,72,29.5,15,20.833
2016/17,58_29,76,30.5,11,14.474
2016/17,58_29,76,34.4,8,10.526
2016/17,58_29,83,31.2,17,20.482
2016/17,58_31,68,31,2,2.941
2016/17,58_31,62,28.9,1,1.613
2016/17,58_31,80,36.7,2,2.5
2016/17,58_31,59,32.8,1,1.695
2016/17,58_31,88,37,1,1.136
2016/17,58_31,84,37.7,2,2.381
2016/17,58_31,92,36.5,3,3.261
2016/17,58_31,101,31.5,3,2.97
2016/17,58_31,86,32.6,4,4.651
2016/17,58_31,70,27.5,1,1.429
2016/17,58_31,74,35.5,1,1.351
2016/17,58_31,81,36.8,3,3.704
2016/17,58_31,93,41.1,1,1.075
2016/17,58_31,92,39.6,4,4.348
2016/17,58_31,103,40.1,3,2.913
2016/17,58_31,99,38.8,5,5.051
2016/17,58_31,102,36.4,2,1.961
2016/17,58_31,90,34.3,5,5.556
2016/17,58_31,79,34.8,1,1.266
2016/17,58_31,85,33.2,2,2.353
2016/17,58_31,73,28,1,1.37
2016/17,58_31,67,32.8,2,2.985
2016/17,58_31,66,27.4,1,1.515
2016/17,58_31,82,35.7,2,2.439
2016/17,58_31,97,42.8,1,1.031
2016/17,58_31,90,34,2,2.222
2016/17,58_31,78,35.2,2,2.564
2016/17,58_31,91,32.3,5,5.495
2016/17,58_31,94,34,3,3.191
2016/17,58_31,84,32.8,10,11.905
2016/17,58_31,95,33.8,3,3.158
2016/17,58_31,97,29,5,5.155
2016/17,58_31,97,26.9,1,1.031
2016/17,58_31,77,24.4,2,2.597
2016/17,58_31,95,31.2,8,8.421
2016/17,58_31,79,28.2,3,3.797
2016/17,58_31,76,28,4,5.263
2016/17,58_31,69,30.5,4,5.797
2016/17,58_31,72,33.8,1,1.389
2016/17,58_31,83,39.5,5,6.024
2016/17,58_31,81,33.2,5,6.173
2016/17,58_31,93,36,9,9.677
2016/17,58_31,85,36.4,7,8.235
2016/17,58_31,90,33.4,5,5.556
2016/17,58_31,91,32.5,4,4.396
2016/17,58_31,88,39.3,2,2.273
2016/17,58_31,93,42,4,4.301
2016/17,58_31,92,42.5,2,2.174
2016/17,58_31,90,42.1,3,3.333
2016/17,58_31,84,21.8,4,4.762
2016/17,58_31,78,23.3,7,8.974
2016/17,58_31,87,25.9,6,6.897
2016/17,58_31,92,29.4,6,6.522
2016/17,58_31,88,26,2,2.273
2016/17,58_31,91,29.4,4,4.396
2016/17,58_31,73,30.1,4,5.479
2016/17,58_31,101,34.6,8,7.921
2016/17,58_31,98,27.6,5,5.102
2016/17,58_31,92,32.8,5,5.435
2016/17,58_31,108,26.9,9,8.333
2016/17,58_31,106,37.6,7,6.604
2016/17,58_31,95,33.7,8,8.421
2016/17,58_31,104,30.9,7,6.731
2016/17,58_31,101,33.3,17,16.832
2016/17,58_31,100,34.7,8,8
2016/17,58_31,92,37.3,7,7.609
2016/17,58_31,95,34.3,5,5.263
2016/17,58_31,102,44.2,4,3.922
2016/17,58_31,97,39.9,7,7.216
2016/17,58_31,97,44.3,8,8.247
2016/17,58_31,97,39.4,11,11.34
2016/17,58_31,103,40,5,4.854
2016/17,58_31,93,38.5,6,6.452
2016/17,58_31,96,39.2,10,10.417
2016/17,58_31,97,37.3,4,4.124
2016/17,58_31,93,32.9,5,5.376
2016/17,58_31,68,33.7,5,7.353
2016/17,58_31,70,29.7,2,2.857
2016/17,58_31,74,32.3,8,10.811
2016/17,58_31,74,27.3,3,4.054
2016/17,58_31,84,25,9,10.714
2016/17,58_31,85,33.9,8,9.412
2016/17,58_31,85,29.5,3,3.529
2016/17,58_31,102,42.5,8,7.843
2016/17,58_31,94,42.9,8,8.511
2016/17,58_31,97,38.5,8,8.247
2016/17,58_31,98,40.8,7,7.143
2016/17,58_31,99,49.6,4,4.04
2016/17,58_31,108,46.8,7,6.481
2016/17,58_31,105,49.2,7,6.667
2016/17,58_31,97,50.7,5,5.155
2016/17,58_31,103,46.6,11,10.68
2016/17,58_31,70,36.4,4,5.714
2016/17,58_31,110,47.6,5,4.545
2016/17,58_31,98,34.4,6,6.122
2016/17,58_31,88,37.5,9,10.227
2016/17,58_31,84,37.8,7,8.333
2016/17,58_31,95,39.2,5,5.263
2016/17,58_31,85,29.5,5,5.882
2016/17,58_31,55,24.7,2,3.636
2016/17,58_31,85,33.8,14,16.471
2016/17,58_31,87,36.4,4,4.598
2016/17,58_31,80,24.4,2,2.5
2016/17,58_31,84,34.7,2,2.381
2016/17,58_31,79,36.4,2,2.532
2016/17,58_31,80,36.6,1,1.25
2016/17,58_31,79,35.5,4,5.063
2016/17,58_31,78,39.6,8,10.256
2016/17,58_31,71,30.8,6,8.451
2016/17,58_31,88,33.7,8,9.091
2016/17,58_31,66,30.1,8,12.121
2016/17,58_31,69,25.7,7,10.145
2016/17,58_31,73,28.9,9,12.329
2016/17,58_31,79,32.2,15,18.987
2016/17,58_31,93,33.9,9,9.677
2016/17,58_31,82,29.3,15,18.293
2016/17,58_31,88,32.3,20,22.727
2016/17,58_31,83,30,6,7.229
2016/17,58_31,89,34.9,7,7.865
2016/17,58_31,84,37.8,3,3.571
2016/17,58_31,84,33.1,4,4.762
2016/17,58_31,84,34.4,11,13.095
2016/17,58_31,82,33.5,4,4.878
2016/17,58_31,77,33.8,3,3.896
2016/17,58_31,76,30.7,9,11.842
2016/17,58_31,56,28,1,1.786
2016/17,58_31,74,38.5,2,2.703
2016/17,58_31,82,35.9,1,1.22
2016/17,58_31,72,28.9,2,2.778
2016/17,58_31,69,24.1,1,1.449
2016/17,58_31,74,31.7,2,2.703
2016/17,58_31,62,27.5,5,8.065
2016/17,58_31,77,32.8,22,28.571
2016/17,58_31,79,33.5,15,18.987
2016/17,58_31,83,33.5,15,18.072
2016/17,58_31,82,37.8,4,4.878
2016/17,58_31,87,35.6,4,4.598
2016/17,58_31,86,38.8,2,2.326
2016/17,58_31,103,43.9,16,15.534
2016/17,58_31,103,48.1,20,19.417
2016/17,58_31,86,46.7,17,19.767
2016/17,58_31,98,49,10,10.204
2016/17,58_31,92,43.6,4,4.348
2016/17,58_36,142,47.4,2,1.408
2016/17,58_36,147,58.2,1,0.68
2016/17,58_36,175,64.2,1,0.571
2016/17,58_36,180,62.2,2,1.111
2016/17,58_36,114,53.9,2,1.754
2016/17,58_36,137,59.5,3,2.19
2016/17,58_36,147,60.3,4,2.721
2016/17,58_36,119,50.5,2,1.681
2016/17,58_36,108,22,7,6.481
2016/17,58_36,119,43.6,3,2.521
2016/17,58_36,140,48.3,1,0.714
2016/17,58_36,157,55.4,3,1.911
2016/17,58_36,143,59.9,1,0.699
2016/17,58_36,149,61.8,1,0.671
2016/17,58_36,137,64.2,2,1.46
2016/17,58_36,163,66.8,6,3.681
2016/17,58_36,151,73.5,4,2.649
2016/17,58_36,134,69,1,0.746
2016/17,58_36,102,58.1,3,2.941
2016/17,58_36,154,78,21,13.636
2016/17,58_42,128,45.7,3,2.344
2016/17,58_42,137,54.5,4,2.92
2016/17,58_42,139,58.7,8,5.755
2016/17,58_42,88,41,1,1.136
2016/17,58_42,123,46,1,0.813
2016/17,58_42,130,36.9,10,7.692
2016/17,58_42,117,39.8,11,9.402
2016/17,58_42,125,47.9,10,8
2016/17,58_42,125,54.9,8,6.4
2016/17,58_42,122,54,14,11.475
2016/17,58_42,126,43.2,10,7.937
2016/17,58_42,136,32,5,3.676
2016/17,58_42,127,43.4,2,1.575
2016/17,58_42,126,48.8,4,3.175
2016/17,58_42,106,38.9,4,3.774
2016/17,58_42,121,51.7,10,8.264
2016/17,58_42,123,54.3,12,9.756
2016/17,58_42,112,37.9,15,13.393
2016/17,58_42,112,39.4,10,8.929
2016/17,58_42,122,40.7,5,4.098
2016/17,58_42,107,35.9,3,2.804
2016/17,58_42,113,49.8,14,12.389
2016/17,58_42,120,51.6,14,11.667
2016/17,58_42,114,45.6,1,0.877
2016/17,58_42,114,45.9,3,2.632
2016/17,58_42,119,49.2,6,5.042
2016/17,58_42,118,40.8,3,2.542
2016/17,58_42,119,44,2,1.681
2016/17,58_42,124,49.3,5,4.032
2016/17,58_42,131,55.4,3,2.29
2016/17,58_42,129,55.7,4,3.101
2016/17,58_42,122,56,4,3.279
2016/17,58_42,115,45.9,4,3.478
2016/17,58_42,113,41.7,16,14.159
2016/17,58_42,107,30.7,35,32.71
2016/17,58_42,91,31.3,12,13.187
2016/17,58_42,104,28.4,1,0.962
2016/17,58_42,108,39,2,1.852
2016/17,58_42,73,15.4,2,2.74
2016/17,58_42,90,27.2,1,1.111
2016/17,58_42,119,47.2,2,1.681
2016/17,58_42,123,55.4,3,2.439
2016/17,58_42,126,55.7,5,3.968
2016/17,58_42,84,23.5,1,1.19
2016/17,58_42,120,50.3,5,4.167
2016/17,58_42,124,57.7,9,7.258
2016/17,58_42,112,51.3,3,2.679
2016/17,58_42,117,46.9,1,0.855
2016/17,58_42,96,34.2,2,2.083
2016/17,58_42,114,44.9,1,0.877
2016/17,58_42,124,46.5,1,0.806
2016/17,58_42,110,33.3,1,0.909
2016/17,58_42,99,34.8,1,1.01
2016/17,58_42,76,22.5,1,1.316
2016/17,58_42,93,23.7,11,11.828
2016/17,58_42,76,31.9,9,11.842
2016/17,58_42,80,27.6,10,12.5
2016/17,58_42,73,33.2,1,1.37
2016/17,58_42,72,24.4,1,1.389
2016/17,58_42,118,52.2,5,4.237
2016/17,58_42,122,59.6,6,4.918
2016/17,58_42,90,43.4,5,5.556
2016/17,58_42,91,55.3,3,3.297
2016/17,58_42,102,43.7,4,3.922
2016/17,58_42,76,30.7,1,1.316
2016/17,58_42,96,34.1,2,2.083
2016/17,58_42,101,45.6,2,1.98
2016/17,58_42,93,32.9,2,2.151
2016/17,58_42,79,27.5,8,10.127
2016/17,58_42,92,23.7,7,7.609
2016/17,58_42,60,24.6,3,5
2016/17,58_42,50,19.9,1,2
2016/17,58_42,81,33.2,6,7.407
2016/17,58_42,77,23.1,3,3.896
2016/17,58_42,92,33.2,3,3.261
2016/17,58_42,84,49.5,4,4.762
2016/17,58_42,87,29.4,7,8.046
2016/17,58_42,88,36.9,1,1.136
2016/17,58_42,108,47.8,4,3.704
2016/17,58_42,120,66,9,7.5
2016/17,58_42,110,53,3,2.727
2016/17,58_42,83,29.9,2,2.41
2016/17,58_42,115,54.4,2,1.739
2016/17,58_42,129,66.5,1,0.775
2016/17,58_42,133,70.3,2,1.504
2016/17,58_42,140,72.1,5,3.571
2016/17,58_42,136,75.5,5,3.676
2016/17,58_42,137,80.2,3,2.19
2016/17,58_42,135,74.5,8,5.926
2016/17,58_42,136,73.1,7,5.147
2016/17,58_42,136,67.6,11,8.088
2016/17,58_42,140,72.2,7,5
2016/17,58_42,131,63.1,6,4.58
2016/17,58_42,136,67.9,2,1.471
2016/17,58_42,101,46.8,1,0.99
2016/17,58_42,109,63.1,2,1.835
2016/17,58_42,124,76.6,3,2.419
2016/17,58_42,124,72.8,4,3.226
2016/17,58_42,133,73.5,7,5.263
2016/17,58_42,138,69,4,2.899
2016/17,58_42,125,61.6,9,7.2
2016/17,58_42,123,57.8,7,5.691
2016/17,58_42,127,70.7,10,7.874
2016/17,58_42,116,60,11,9.483
2016/17,58_42,110,50.9,15,13.636
2016/17,58_42,107,49.3,13,12.15
2016/17,58_42,116,58.3,6,5.172
2016/17,58_42,97,42.7,15,15.464
2016/17,58_42,91,33.4,20,21.978
2016/17,58_42,93,37.1,24,25.806
2016/17,58_42,86,39.1,16,18.605
2016/17,58_42,86,42.9,2,2.326
2016/17,58_42,98,51,14,14.286
2016/17,58_42,102,50.9,15,14.706
2016/17,58_42,106,49.6,24,22.642
2016/17,58_42,106,59.3,11,10.377
2016/17,58_42,108,59.3,11,10.185
2016/17,58_42,100,49.6,15,15
2016/17,58_42,83,33.7,19,22.892
2016/17,58_42,90,36.5,30,33.333
2016/17,58_42,81,39.9,18,22.222
2016/17,58_42,92,45.6,14,15.217
2016/17,58_42,96,51.1,26,27.083
2016/17,58_42,102,51.4,22,21.569
2016/17,58_42,100,55.1,19,19
2016/17,58_42,84,46.9,22,26.19
2016/17,58_42,72,45,16,22.222
2016/17,58_42,75,42.5,18,24
2016/17,58_42,83,37,24,28.916
2016/17,58_42,72,36.2,16,22.222
2016/17,58_42,72,35.3,17,23.611
2016/17,58_42,83,33.2,18,21.687
2016/17,58_42,73,43.2,20,27.397
2016/17,58_42,68,37.7,17,25
2016/17,58_42,85,41.8,21,24.706
2016/17,58_42,90,47.4,25,27.778
2016/17,58_42,86,45.9,20,23.256
2016/17,58_42,85,43.5,18,21.176
2016/17,58_42,93,45.3,14,15.054
2016/17,58_42,87,40.7,16,18.391
2016/17,58_42,91,33.9,19,20.879
2016/17,58_42,85,39.1,19,22.353
2016/17,58_42,88,47.6,13,14.773
2016/17,58_42,92,46.3,18,19.565
2016/17,58_42,92,47.9,5,5.435
2016/17,58_42,89,32.3,8,8.989
2016/17,58_42,93,33.8,25,26.882
2016/17,58_42,92,33,25,27.174
2016/17,58_42,68,24.8,21,30.882
2016/17,58_42,63,28.2,17,26.984
2016/17,58_42,78,25.1,25,32.051
2016/17,58_42,91,33.5,15,16.484
2016/17,58_42,97,37.8,19,19.588
2016/17,58_42,105,49.2,6,5.714
2016/17,58_42,97,36.7,1,1.031
2016/17,58_42,90,26,1,1.111
2016/17,58_42,97,32,12,12.371
2016/17,58_42,113,33.4,11,9.735
2016/17,58_42,108,46.4,18,16.667
2016/17,58_42,90,29.5,14,15.556
2016/17,58_42,92,27.4,11,11.957
2016/17,58_42,90,25.4,7,7.778
2016/17,58_42,94,33.5,19,20.213
2016/17,58_42,91,28.4,5,5.495
2016/17,58_42,93,28.3,3,3.226
2016/17,58_42,102,32.5,8,7.843
2016/17,58_42,99,37.8,24,24.242
2016/17,58_42,95,35.1,6,6.316
2016/17,58_43,92,38.6,2,2.174
2016/17,58_43,133,42,2,1.504
2016/17,58_43,127,49.1,4,3.15
2016/17,58_43,138,47.7,4,2.899
2016/17,58_43,137,44.1,1,0.73
2016/17,58_43,135,42,1,0.741
2016/17,58_43,129,46,2,1.55
2016/17,58_43,137,41.5,3,2.19
2016/17,58_43,109,34,4,3.67
2016/17,58_43,80,34.5,2,2.5
2016/17,58_46,90,22,5,5.556
2016/17,58_46,104,26.7,4,3.846
2016/17,58_46,95,18,12,12.632
2016/17,58_46,101,22.9,3,2.97
2016/17,58_46,80,17.8,9,11.25
2016/17,58_46,118,27.8,5,4.237
2016/17,58_46,109,45.5,4,3.67
2016/17,58_46,131,61.8,1,0.763
2016/17,58_46,127,51.2,2,1.575
2016/17,58_46,111,51.3,3,2.703
2016/17,58_46,112,62.1,5,4.464
2016/17,58_46,98,44.6,9,9.184
2016/17,58_46,128,56,25,19.531
2016/17,58_46,118,58.2,13,11.017
2016/17,58_46,123,67.9,24,19.512
2016/17,58_46,121,60.8,24,19.835
2016/17,58_46,125,61.9,19,15.2
2016/17,58_46,115,59.8,16,13.913
2016/17,58_46,116,62.7,21,18.103
2016/17,58_46,118,60.5,20,16.949
2016/17,58_46,130,65.3,22,16.923
2016/17,58_46,121,56.2,9,7.438
2016/17,58_46,120,62.6,9,7.5
2016/17,58_46,124,61,8,6.452
2016/17,58_46,125,65.5,13,10.4
2016/17,58_46,127,68,26,20.472
2016/17,58_46,116,71.8,26,22.414
2016/17,58_46,115,66.2,20,17.391
2016/17,58_46,119,65.6,35,29.412
2016/17,58_46,112,62.1,26,23.214
2016/17,58_46,117,66.4,34,29.06
2016/17,58_46,122,63.2,27,22.131
2016/17,58_46,121,65.9,21,17.355
2016/17,58_46,117,69.7,13,11.111
2016/17,58_46,119,67,23,19.328
2016/17,58_46,115,67.2,24,20.87
2016/17,58_46,98,59.7,13,13.265
2016/17,58_46,85,57.1,18,21.176
2016/17,58_46,84,52,17,20.238
2016/17,58_46,90,51.6,17,18.889
2016/17,58_46,81,46.4,7,8.642
2016/17,58_46,92,54,18,19.565
2016/17,58_46,87,51.6,23,26.437
2016/17,58_46,65,47.2,13,20
2016/17,58_46,80,44,13,16.25
2016/17,58_46,72,46.2,17,23.611
2016/17,58_46,81,47.6,14,17.284
2016/17,58_46,86,49.2,16,18.605
2016/17,58_46,84,51.5,17,20.238
2016/17,58_46,89,56.7,14,15.73
2016/17,58_46,94,55.5,11,11.702
2016/17,58_46,93,56.1,6,6.452
2016/17,58_46,103,57.6,11,10.68
2016/17,58_46,86,58.6,4,4.651
2016/17,58_46,71,47.3,3,4.225
2016/17,58_46,108,60.2,14,12.963
2016/17,58_46,95,68.8,5,5.263
2016/17,58_46,99,53.3,2,2.02
2016/17,58_46,91,48.7,15,16.484
2016/17,58_46,98,55.8,19,19.388
2016/17,58_46,99,56.2,16,16.162
2016/17,58_46,92,53.5,9,9.783
2016/17,58_46,92,61.4,11,11.957
2016/17,58_46,103,62.7,25,24.272
2016/17,58_46,92,62.3,20,21.739
2016/17,58_46,97,66.4,18,18.557
2016/17,58_46,101,63.3,22,21.782
2016/17,58_46,94,58.5,15,15.957
2016/17,58_46,99,57.7,27,27.273
2016/17,58_46,86,48.5,24,27.907
2016/17,58_46,94,50,18,19.149
2016/17,58_46,94,40.8,5,5.319
2016/17,58_46,89,42.9,8,8.989
2016/17,58_46,60,34.1,9,15
2016/17,58_46,78,35.9,3,3.846
2016/17,58_46,79,38.1,1,1.266
2016/17,58_46,79,34,2,2.532
2016/17,58_46,98,32,2,2.041
2016/17,58_46,101,45.2,2,1.98
2016/17,58_46,107,26.8,6,5.607
2016/17,58_46,97,21.5,4,4.124
2016/17,58_46,97,18.5,3,3.093
2016/17,58_46,85,24.3,1,1.176
2016/17,58_46,98,37.2,2,2.041
2016/17,58_46,99,40.5,13,13.131
2016/17,58_46,95,47,9,9.474
2016/17,58_46,115,55.5,22,19.13
2016/17,58_46,107,54.9,14,13.084
2016/17,58_46,112,60.6,10,8.929
2016/17,58_46,126,63.5,2,1.587
2016/17,58_46,120,59.5,7,5.833
2016/17,58_46,116,48.4,8,6.897
2016/17,58_46,106,37.4,18,16.981
2016/17,58_46,105,39,12,11.429
2016/17,58_46,88,34.2,7,7.955
2016/17,58_46,80,37.6,3,3.75
2016/17,58_46,78,37.6,2,2.564
2016/17,58_46,70,32.3,1,1.429
2016/17,58_46,86,47.7,1,1.163
2016/17,58_46,92,39,5,5.435
2016/17,58_46,85,38,1,1.176
2016/17,58_46,92,39.5,1,1.087
2016/17,58_46,45,23.5,5,11.111
2016/17,58_46,36,8,2,5.556
2016/17,58_46,87,45.5,6,6.897
2016/17,58_46,93,45.6,7,7.527
2016/17,58_46,94,50.8,16,17.021
2016/17,58_46,92,61.4,8,8.696
2016/17,58_46,94,57.9,2,2.128
2016/17,58_46,98,59.4,2,2.041
2016/17,58_46,102,56.7,10,9.804
2016/17,58_46,94,54.4,14,14.894
2016/17,58_46,82,49.6,1,1.22
2016/17,58_46,99,54.1,8,8.081
2016/17,58_46,97,62.7,16,16.495
2016/17,58_46,95,54.4,18,18.947
2016/17,58_46,86,55.4,5,5.814
2016/17,58_46,99,60.1,19,19.192
2016/17,58_46,95,52.5,15,15.789
2016/17,58_46,86,52,19,22.093
2016/17,58_46,85,47.8,17,20
2016/17,58_46,89,52.1,10,11.236
2016/17,58_46,92,52,13,14.13
2016/17,58_46,91,51.5,17,18.681
2016/17,58_46,96,47.3,14,14.583
2016/17,58_46,85,46.9,16,18.824
2016/17,58_46,75,44.4,15,20
2016/17,58_46,79,44.8,11,13.924
2016/17,58_46,78,40.2,9,11.538
2016/17,58_46,74,40.9,5,6.757
2016/17,58_46,76,43.3,15,19.737
2016/17,58_46,85,47.4,12,14.118
2016/17,58_46,77,41.1,6,7.792
2016/17,58_46,74,43.2,11,14.865
2016/17,58_46,79,44.1,6,7.595
2016/17,58_46,71,40.4,1,1.408
2016/17,58_46,84,38.1,11,13.095
2016/17,58_46,77,39.7,1,1.299
2016/17,58_46,69,38.3,1,1.449
2016/17,58_49,102,51.3,1,0.98
2016/17,58_49,112,58.3,7,6.25
2016/17,58_49,107,58,8,7.477
2016/17,58_49,109,51.9,10,9.174
2016/17,58_49,113,61,9,7.965
2016/17,58_49,86,54.8,8,9.302
2016/17,58_49,97,55.2,10,10.309
2016/17,58_49,105,57.5,18,17.143
2016/17,58_49,107,58,21,19.626
2016/17,58_49,105,58.6,19,18.095
2016/17,58_49,105,57.1,26,24.762
2016/17,58_49,110,59.6,29,26.364
2016/17,58_49,101,58.7,27,26.733
2016/17,58_49,92,60.4,15,16.304
2016/17,58_49,73,53.6,18,24.658
2016/17,58_49,98,53.7,23,23.469
2016/17,58_49,98,62.3,9,9.184
2016/17,58_49,94,65.9,7,7.447
2016/17,58_49,102,64.6,5,4.902
2016/17,58_49,112,73.8,13,11.607
2016/17,58_49,105,64.9,11,10.476
2016/17,58_49,93,53,5,5.376
2016/17,58_49,90,61.1,10,11.111
2016/17,58_49,62,42.6,1,1.613
2016/17,58_49,77,39.6,8,10.39
2016/17,58_49,87,62.1,7,8.046
2016/17,58_49,94,33.2,1,1.064
2016/17,58_49,104,61.9,5,4.808
2016/17,58_49,98,59.7,5,5.102
2016/17,58_49,61,38.7,5,8.197
2016/17,58_49,90,54.6,2,2.222
2016/17,58_49,101,61.3,2,1.98
2016/17,58_49,105,58.3,4,3.81
2016/17,58_49,87,57.5,3,3.448
2016/17,58_49,125,64,4,3.2
2016/17,58_49,116,69.8,13,11.207
2016/17,58_49,104,67.8,7,6.731
2016/17,58_49,99,67,8,8.081
2016/17,58_49,123,74.2,13,10.569
2016/17,58_49,136,72.7,18,13.235
2016/17,58_49,129,73.3,16,12.403
2016/17,58_49,118,71.8,12,10.169
2016/17,58_49,118,64.6,20,16.949
2016/17,58_49,114,65.3,20,17.544
2016/17,58_49,114,68.6,21,18.421
2016/17,58_49,113,70.6,17,15.044
2016/17,58_49,113,69,16,14.159
2016/17,58_49,112,76.2,12,10.714
2016/17,58_49,122,71.7,23,18.852
2016/17,58_49,116,72.3,19,16.379
2016/17,58_49,118,75.7,33,27.966
2016/17,58_49,118,74.9,32,27.119
2016/17,58_49,124,77,29,23.387
2016/17,58_49,105,71.4,17,16.19
2016/17,58_49,117,70.2,19,16.239
2016/17,58_49,114,70.5,11,9.649
2016/17,58_49,103,75.3,5,4.854
2016/17,58_49,115,75.2,12,10.435
2016/17,58_49,101,64.8,16,15.842
